Sample_ID,Long,Lat
52009_091118_55_Mills,-123.605755,47.993774
52009_091118_56_Mills,-123.605755,47.993774
52009_091118_57_Mills,-123.605755,47.993774
52009_091118_58_Mills,-123.605755,47.993774
52009_091118_59_Mills,-123.605755,47.993774
52009_091118_6_Elk,-123.46932,47.870426
52009_091118_60_Mills,-123.605755,47.993774
52009_091118_61_Mills,-123.605755,47.993774
52009_091118_62_Mills,-123.605755,47.993774
52009_091118_63_Mills,-123.605755,47.993774
52009_091118_64_Mills,-123.605755,47.993774
52009_091118_65_Mills,-123.605755,47.993774
52009_091118_66_Mills,-123.605755,47.993774
52009_091118_67_Mills,-123.605755,47.993774
52009_091118_68_Mills,-123.605755,47.993774
52009_091118_69_Mills,-123.605755,47.993774
